GLON,GLAT,RAJ2000,DEJ2000,Diam-a,Diam-b,Name,Class1,Class2,Com,Code,recno
27.24,-0.41,18 42 29,-05 15 12,1.9,1.9,Teutsch 145,OC   ,     ,                                ,"REF1070,REF780                                 ",1222
27.3,-2.77,18 51 05,-06 16 01,12,12,M 11,OC   ,     ,                                ,"REF239,REF3032,REF3033                         ",1226
27.35,-1.93,18 48 08,-05 50 50,6,6,Apriamaswili 1,OC   ,     ,                                ,REF239                                         ,1229
27.45,-3.32,18 53 18,-06 23 40,1.4,1.4,Ryu 262,OC   ,     ,                                ,REF805                                         ,1234
27.51,22.04,17 23 12,+05 20 31,14,14,MWSC 5351,OC   ,     ,                                ,REF1098                                        ,1237
27.52,0.06,18 41 20,-04 47 32,0.8,0.8,Ryu 878,OC   ,     ,                                ,REF805                                         ,1238
27.63,5.38,18 22 36,-02 14 44,2.7,2.7,Ryu 15,OC   ,     ,                                ,REF805                                         ,1242
27.64,4.57,18 25 29,-02 36 13,1.9,1.9,Ryu 880,OC   ,     ,                                ,REF805                                         ,1244
27.66,-3.95,18 55 56,-06 29 21,1,1,Ryu 881,OC   ,     ,                                ,REF805                                         ,1245
27.7,-1.58,18 47 32,-05 22 30,1.1,1.1,Ryu 264,OC   ,     ,                                ,REF805                                         ,1247
27.76,4.45,18 26 08,-02 33 30,1.3,1.3,Ryu 882,OC   ,     ,                                ,REF805                                         ,1249
