GLON,GLAT,RAJ2000,DEJ2000,Diam-a,Diam-b,Name,Class1,Class2,Com,Code,recno
309.16,-0.71,13 46 35,-62 54 59,6.5,5,NGC 5281|Melotte 120|Collinder 276|OCL 911|BH 152|ESO 97-5|MWSC 2161,OC   ,     ,                                ,REF239                                         ,8705
309.25,-2.71,13 51 23,-64 50 38,20,20,Loden 995|MWSC 2176,OC   ,     ,                                ,REF279                                         ,8712
309.27,-0.61,13 47 19,-62 47 27,1.8,1.8,GLIMPSE 39|Mercer 39,OC   ,     ,                                ,REF131                                         ,8713
309.33,-0.24,13 47 10,-62 25 12,20,20,ASCC 75|MWSC 2163,OC   ,     ,                                ,REF306                                         ,8716
309.44,-19.27,15 25 52,-80 07 43,13,13,MWSC 5688,OC   ,     ,                                ,REF1098                                        ,8725
309.5,-3.34,13 55 09,-65 24 02,14,14,Loden 1002|OCL 911.2|MWSC 2177,OC   ,     ,                                ,REF238                                         ,8727
309.52,1.89,13 45 00,-60 17 17,28,20,Loden 1010|OCL 911.3|ESO 133-3|MWSC 2157,OC   ,     ,                                ,REF238                                         ,8729
309.57,3.07,13 43 28,-59 07 18,324,324,Platais 10|HIP 67014 Group|MWSC 2150,OC   ,     ,sup. Lower Cen-Crux|in ScoOB2?  ,REF203                                         ,8733
309.59,-0.98,13 50 49,-63 04 22,1.5,1.2,LS 114|La Serena 114,OC   ,     ,                                ,REF3050                                        ,8734
309.6,-1.36,13 51 44,-63 27 12,120,120,Platais 12|HIP 67440 Group|MWSC 2173,OC   ,     ,superimposed on Sco-Cen Assoc   ,REF203                                         ,8735
309.96,2.93,13 46 36,-59 11 00,13,13,NGC 5284|ESO 133-4|MWSC 2162,OC   ,     ,                                ,REF226|REF296|REF298|REF667                    ,8744
310.01,-5.51,14 06 24,-67 33 00,18,10,Ruprecht 110|OCL 912|ESO 97-10|MWSC 2199,OC   ,     ,                                ,REF239                                         ,8749
310.22,0.11,13 53 57,-61 52 01,14,14,NGC 5316|Melotte 122|Collinder 279|OCL 913|BH 154|ESO 133-6|MWSC 2175,OC   ,     ,                                ,REF239                                         ,8754
310.26,2.1,13 50 24,-59 56 00,10,10,NGC 5299|MWSC 2170,OC   ,     ,                                ,REF226|REF296|REF298|REF667                    ,8755
310.64,2.29,13 53 24,-59 39 00,10,7,Loden 1095|OCL 913.1|MWSC 2174,OC   ,     ,                                ,REF238                                         ,8764
310.71,-38.18,22 56 56,-77 10 12,22,22,MWSC 4668,OC   ,     ,                                ,REF3031                                        ,8765
310.76,0.02,13 58 28,-61 49 38,1.5,1.5,Bica 490,OC   ,     ,dust emission nearby            ,REF250                                         ,8769
310.81,0.17,13 58 39,-61 40 31,1.5,1.5,LS 125|La Serena 125,OC   ,     ,                                ,REF3050                                        ,8770
310.84,-0.34,14 00 02,-62 09 26,3,2.5,Lynga 1|OCL 914|ESO 133-10|MWSC 2193,OC   ,     ,                                ,REF239                                         ,8772
311.22,2.22,13 57 36,-59 34 32,8,8,BH 155|MWSC 2186,OC   ,     ,                                ,REF233                                         ,8787
311.4,-2.42,14 09 53,-63 59 44,1.1,1.1,Teutsch 112|DSH J1409.8-6359,OC   ,     ,                                ,REF1070                                        ,8789
311.53,2.37,13 59 36,-59 21 10,12,12,Loden 1152|OCL 914.1|MWSC 2192,OC   ,     ,large loose core                ,REF238                                         ,8799
